timings, timings_total, nb_constraints, x0s[0], x0s[1], x0s[2], x0s[3]
5.97666,23.9299,160,53.2718,3.81059,2,-0.0764022
4.9664,27.7432,157,53.895,3.76289,2,-0.0619772
6.95754,28.6381,154,54.5188,3.72418,2,-0.0352645
5.83838,24.079,151,55.1434,3.70214,2,-0.0190537
4.03827,23.6755,149,55.7683,3.69024,2,-0.0102976
3.1785,19.5013,147,56.3933,3.6838,2,-0.00556572
5.36587,24.1477,146,57.0183,3.68032,2,-0.00300828
2.90045,18.7621,145,57.6433,3.67844,2,-0.00162599
3.71398,20.3923,144,58.2683,3.67742,2,-0.000878858
5.3621,23.7304,143,58.8933,3.67688,2,-0.000475029
2.81643,18.5497,142,59.5183,3.67658,2,-0.000256757
6.38704,23.8119,141,60.1433,3.67642,2,-0.000138779
4.43739,21.5619,140,60.7683,3.67633,2,-7.50115e-05
3.6701,18.2402,139,61.3933,3.67628,2,-4.05444e-05
2.98053,19.4299,138,62.0183,3.67626,2,-2.19146e-05
5.15348,22.3447,137,62.6433,3.67625,2,-1.18449e-05
2.88537,17.2294,136,63.2683,3.67624,2,-6.40226e-06
4.13373,18.4314,136,63.8933,3.67623,2,-3.46046e-06
2.70226,19.0645,136,64.5183,3.67623,2,-1.8704e-06
5.09202,22.392,136,65.1433,3.67623,2,-1.01096e-06
5.19672,21.4843,136,65.7683,3.67623,2,-5.4643e-07
2.61453,16.1744,136,66.3933,3.67623,2,-2.95348e-07
2.69777,19.0253,136,67.0183,3.67623,2,-1.59637e-07
4.5529,20.3774,136,67.6433,3.67623,2,-8.6285e-08
