timings, timings_total, nb_constraints, x0s[0], x0s[1], x0s[2], x0s[3]
23.5359,23.7706,376,17.3058,4.41487,2,-0.217974
22.2667,22.3902,376,17.916,4.27972,2,-0.221058
23.0249,23.1426,376,18.5258,4.14268,2,-0.22193
22.6651,22.8817,376,19.1355,4.00511,2,-0.220928
22.8018,22.9793,376,19.7453,3.86815,2,-0.217659
33.1493,33.3564,376,20.3555,3.73318,2,-0.210846
23.6008,23.798,376,20.9667,3.60238,1.99985,-0.197822
23.5128,23.6517,376,21.5794,3.47955,1.98953,-0.173763
25.7692,25.9186,376,22.1918,3.37206,1.96494,-0.134752
21.8702,22.0067,376,22.8003,3.28957,1.95194,-0.0885969
26.3294,26.4523,376,23.4079,3.2356,1.96608,-0.0514931
20.8527,21.0168,376,24.0215,3.20397,1.99025,-0.0283677
15.9259,16.0392,376,24.6432,3.18633,1.9999,-0.0153981
18.1172,18.3129,376,25.2681,3.17671,2,-0.00832257
18.4097,18.5984,376,25.893,3.17151,2,-0.00449829
17.8962,18.0375,376,26.518,3.1687,2,-0.00243133
15.4887,15.7559,376,27.143,3.16718,2,-0.00131413
16.4182,16.595,376,27.768,3.16636,2,-0.000710283
18.9757,19.1261,376,28.393,3.16591,2,-0.000383899
21.1446,21.3663,376,29.018,3.16567,2,-0.000207485
19.985,20.1275,376,29.643,3.16554,2,0.0295013
19.2458,19.3753,376,30.2678,3.18398,2,0.0753508
23.26,23.453,376,30.891,3.23103,2,0.110483
22.8069,22.9693,376,31.5122,3.29994,2,0.130272
18.8628,19.0064,376,32.1319,3.38113,2,0.140996
19.5746,19.6932,376,32.7507,3.46896,2,0.146774
24.889,25.0022,376,33.369,3.56036,2,0.149842
19.5157,19.6764,376,33.9869,3.65367,2,0.151392
16.7292,16.8474,376,34.6048,3.74793,2,0.152025
20.2109,20.4058,376,35.2226,3.84258,2,0.151987
20.6739,20.8744,376,35.8404,3.9372,2,0.151264
22.2932,22.5237,376,36.4583,4.03138,2,0.149573
21.6456,21.7671,376,37.0763,4.12452,2,0.146262
17.5735,17.6966,376,37.6946,4.21561,2,0.140047
18.3602,18.489,376,38.3135,4.30285,2,0.128515
16.4446,16.5994,376,38.9333,4.38295,2,0.107176
14.8943,15.1222,376,39.5547,4.44981,2,0.0676188
17.8558,18.0069,376,40.1783,4.49204,2,0.0364992
14.9969,15.1723,376,40.8029,4.51484,2,0.0197203
15.0061,15.1317,376,41.4278,4.52717,2,0.0106577
15.4745,15.5997,376,42.0527,4.53383,2,0.00576038
15.043,15.1705,376,42.6777,4.53743,2,0.00311349
16.206,16.3588,376,43.3027,4.53937,2,0.00168286
15.4804,15.6177,376,43.9277,4.54043,2,-0.0134334
16.7492,16.9024,376,44.5527,4.53203,2,-0.0374567
16.3196,16.4581,376,45.1772,4.50863,2,-0.0593281
18.3215,18.469,376,45.8011,4.47157,2,-0.0742306
19.3121,19.4313,376,46.4244,4.42522,2,-0.0828838
20.3416,20.4807,376,47.0473,4.37347,2,-0.0876938
19.5631,19.8915,376,47.6699,4.31873,2,-0.0902746
18.8457,19.0737,376,48.2923,4.26239,2,-0.0916302
19.135,19.2577,376,48.9147,4.2052,2,-0.0922888
17.5575,17.7021,376,49.537,4.1476,2,-0.0925066
17.2009,17.3284,376,50.1594,4.08987,2,-0.0923684
18.2506,18.3781,376,50.7817,4.03222,2,-0.0918204
28.9964,29.1102,376,51.4041,3.97491,2,-0.0906495
16.5964,16.7367,376,52.0265,3.91833,2,-0.0884
17.3238,17.4416,376,52.6491,3.86316,2,-0.0841964
17.0612,17.187,376,53.2718,3.81059,2,-0.0764022
17.1738,17.299,376,53.895,3.76289,2,-0.0619772
15.1194,15.2364,376,54.5188,3.72418,2,-0.0352648
24.23,24.3481,376,55.1434,3.70214,2,-0.0190539
66.8847,67.2807,376,55.7683,3.69024,2,-0.0102976
